Images	10px 20px 30px 40px
img00	42.21	42.21	40.10	37.74
img01	29.04	28.13	25.62	23.79	
img02	26.80	25.38	24.63	23.54	
img03	40.86	42.01	42.48	42.52	
img04	17.42	16.55	16.06	15.79	
img05	59.23	62.06	62.55	62.49	
img06	56.88	60.33	61.53	61.92
