Images	30x30 45x30 45x45 60x45 60x60
img00	36.45	32.73	28.64	25.46	21.97
img01	21.97	22.31	22.96	22.35	22.06	
img02	20.95	21.44	22.42	21.63	21.37	
img03	37.36	37.28	37.00	36.86	36.77	
img04	14.45	14.77	14.82	14.89	14.69	
img05	55.32	54.67	54.62	54.38	54.31	
img06	53.27	54.67	54.04	53.98	52.86
